Company Name,Industry,Symbol,Series,ISIN Code,Industry_encoded
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021,12
Inox Wind Ltd.,Capital Goods,INOXWIND,EQ,INE066P01011,1
Intellect Design Arena Ltd.,Information Technology,INTELLECT,EQ,INE306R01017,12
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027,18
Ipca Laboratories Ltd.,Healthcare,IPCALAB,EQ,INE571A01038,11
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM,EQ,INE572A01036,11
J.K. Cement Ltd.,Construction Materials,JKCEMENT,EQ,INE823G01014,4
JBM Auto Ltd.,Automobile and Auto Components,JBMA,EQ,INE927D01044,0
JK Lakshmi Cement Ltd.,Construction Materials,JKLAKSHMI,EQ,INE786A01032,4
JK Tyre & Industries Ltd.,Automobile and Auto Components,JKTYRE,EQ,INE573A01042,0
JM Financial Ltd.,Financial Services,JMFINANCIL,EQ,INE780C01023,9
JSW Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018,16
JSW Infrastructure Ltd.,Services,JSWINFRA,EQ,INE880J01026,18
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038,14
Jaiprakash Power Ventures Ltd.,Power,JPPOWER,EQ,INE351F01018,16
Jammu & Kashmir Bank Ltd.,Financial Services,J&KBANK,EQ,INE168A01041,9
Jindal Saw Ltd.,Capital Goods,JINDALSAW,EQ,INE324A01032,1
Jindal Stainless Ltd.,Metals & Mining,JSL,EQ,INE220G01021,14
Jindal Steel & Power Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030,14
Jio Financial Services Ltd.,Financial Services,JIOFIN,EQ,INE758E01017,9
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020,6
Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA,EQ,INE0BY001018,2
Jubilant Pharmova Ltd.,Healthcare,JUBLPHARMA,EQ,INE700A01033,11
Jupiter Wagons Ltd.,Capital Goods,JWL,EQ,INE209L01016,1
Justdial Ltd.,Consumer Services,JUSTDIAL,EQ,INE599M01018,6
Jyothy Labs Ltd.,Fast Moving Consumer Goods,JYOTHYLAB,EQ,INE668F01031,8
Jyoti CNC Automation Ltd.,Capital Goods,JYOTICNC,EQ,INE980O01024,1
K.P.R. Mill Ltd.,Textiles,KPRMILL,EQ,INE930H01031,20
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027,1
KNR Constructions Ltd.,Construction,KNRCON,EQ,INE634I01029,3
KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011,12
KSB Ltd.,Capital Goods,KSB,EQ,INE999A01023,1
Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER,EQ,INE217B01036,5
Kalpataru Projects International Ltd.,Construction,KPIL,EQ,INE220B01022,3
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014,5
Kansai Nerolac Paints Ltd.,Consumer Durables,KANSAINER,EQ,INE531A01024,5
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,INE036D01028,9
Kaynes Technology India Ltd.,Capital Goods,KAYNES,EQ,INE918Z01012,1
Kec International Ltd.,Construction,KEC,EQ,INE389H01022,3
Kfin Technologies Ltd.,Financial Services,KFINTECH,EQ,INE138Y01010,9
Kirloskar Brothers Ltd.,Capital Goods,KIRLOSBROS,EQ,INE732A01036,1
Kirloskar Oil Eng Ltd.,Capital Goods,KIRLOSENG,EQ,INE146L01010,1
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01028,9
Krishna Institute of Medical Sciences Ltd.,Healthcare,KIMS,EQ,INE967H01025,11
L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015,9
L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017,12
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026,9
LTIMindtree Ltd.,Information Technology,LTIM,EQ,INE214T01019,12
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030,3
Latent View Analytics Ltd.,Information Technology,LATENTVIEW,EQ,INE0I7C01011,12
Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028,11
Lemon Tree Hotels Ltd.,Consumer Services,LEMONTREE,EQ,INE970X01018,6
Life Insurance Corporation of India,Financial Services,LICI,EQ,INE0J1Y01017,9
Linde India Ltd.,Chemicals,LINDEINDIA,EQ,INE473A01011,2
Lloyds Metals And Energy Ltd.,Metals & Mining,LLOYDSME,EQ,INE281B01032,14
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037,11
MMTC Ltd.,Services,MMTC,EQ,INE123F01029,18
MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011,0
Macrotech Developers Ltd.,Realty,LODHA,EQ,INE670K01029,17
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL,EQ,INE002S01010,15
Maharashtra Seamless Ltd.,Capital Goods,MAHSEAMLES,EQ,INE271B01025,1
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN,EQ,INE774D01024,9
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026,0
Mahindra Lifespace Developers Ltd.,Realty,MAHLIFE,EQ,INE813A01018,17
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027,9
Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,MRPL,EQ,INE103A01014,15
Mankind Pharma Ltd.,Healthcare,MANKIND,EQ,INE634S01028,11
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026,8
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010,0
Mastek Ltd.,Information Technology,MASTEK,EQ,INE759A01021,12
Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020,9
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010,11
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01020,1
Metro Brands Ltd.,Consumer Durables,METROBRAND,EQ,INE317I01021,5
Metropolis Healthcare Ltd.,Healthcare,METROPOLIS,EQ,INE112L01020,11
Minda Corporation Ltd.,Automobile and Auto Components,MINDACORP,EQ,INE842C01021,0
Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI,EQ,INE0FS801015,0
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,INE338I01027,9
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018,12
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01035,9
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012,9
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,INE987B01026,11
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031,3
NCC Ltd.,Construction,NCC,EQ,INE868B01028,3
NHPC Ltd.,Power,NHPC,EQ,INE848E01016,16
NLC India Ltd.,Power,NLCINDIA,EQ,INE589A01014,16
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023,14
NMDC Steel Ltd.,Metals & Mining,NSLNISP,EQ,INE0NNS01018,14
NTPC Ltd.,Power,NTPC,EQ,INE733E01010,16
Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011,11
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034,14
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,EQ,INE048G01026,2
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024,8
Netweb Technologies India Ltd.,Information Technology,NETWEB,EQ,INE0NT901020,12
Network18 Media & Investments Ltd.,Media Entertainment & Publication,NETWORK18,EQ,INE870H01013,13
Newgen Software Technologies Ltd.,Information Technology,NEWGEN,EQ,INE619B01017,12
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA,EQ,INE298J01013,9
Nuvama Wealth Management Ltd.,Financial Services,NUVAMA,EQ,INE531F01015,9
Nuvoco Vistas Corporation Ltd.,Construction Materials,NUVOCO,EQ,INE118D01016,4
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010,17
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029,15
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014,15
Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA,EQ,INE260D01016,0
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020,9
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027,12
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026,9
PCBL Ltd.,Chemicals,PCBL,EQ,INE602A01031,2
PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030,2
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,EQ,INE572E01012,9
PNC Infratech Ltd.,Construction,PNCINFRA,EQ,INE195J01029,3
PTC Industries Ltd.,Capital Goods,PTCIL,EQ,INE596F01018,1
PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX,EQ,INE191H01014,13
Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022,20
Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI,EQ,INE619A01035,8
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021,12
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET,EQ,INE347G01014,15
Pfizer Ltd.,Healthcare,PFIZER,EQ,INE182A01018,11
Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,INE211B01039,17
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026,2
Piramal Enterprises Ltd.,Financial Services,PEL,EQ,INE140A01024,9
Piramal Pharma Ltd.,Healthcare,PPLPHARMA,EQ,INE0DK501011,11
Poly Medicure Ltd.,Healthcare,POLYMED,EQ,INE205C01021,11
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017,1
Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA,EQ,INE511C01022,9
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011,9
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010,16
Praj Industries Ltd.,Capital Goods,PRAJIND,EQ,INE074A01025,1
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011,17
Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,PGHH,EQ,INE179A01014,8
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022,9
Quess Corp Ltd.,Services,QUESS,EQ,INE615P01015,18
R R Kabel Ltd.,Capital Goods,RRKABEL,EQ,INE777K01022,1
RBL Bank Ltd.,Financial Services,RBLBANK,EQ,INE976G01028,9
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018,9
RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM,EQ,INE743M01012,1
RITES Ltd.,Construction,RITES,EQ,INE320J01015,3
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ,INE944F01028,8
Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027,3
Railtel Corporation Of India Ltd.,Telecommunication,RAILTEL,EQ,INE0DD101019,19
Rainbow Childrens Medicare Ltd.,Healthcare,RAINBOW,EQ,INE961O01016,11
Rajesh Exports Ltd.,Consumer Durables,RAJESHEXPO,EQ,INE343B01030,5
Ramkrishna Forgings Ltd.,Automobile and Auto Components,RKFORGE,EQ,INE399G01023,0
Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,RCF,EQ,INE027A01015,2
Ratnamani Metals & Tubes Ltd.,Capital Goods,RATNAMANI,EQ,INE703B01027,1
RattanIndia Enterprises Ltd.,Consumer Services,RTNINDIA,EQ,INE834M01019,6
Raymond Ltd.,Realty,RAYMOND,EQ,INE301A01014,17
Redington Ltd.,Services,REDINGTON,EQ,INE891D01026,18
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018,15
Route Mobile Ltd.,Telecommunication,ROUTE,EQ,INE450U01017,19
SBFC Finance Ltd.,Financial Services,SBFC,EQ,INE423Y01016,9
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016,9
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016,9
SJVN Ltd.,Power,SJVN,EQ,INE002L01015,16
SKF India Ltd.,Capital Goods,SKFINDIA,EQ,INE640A01023,1
SRF Ltd.,Chemicals,SRF,EQ,INE647A01010,2
Sammaan Capital Ltd.,Financial Services,SAMMAANCAP,EQ,INE148I01020,9
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035,0
Sanofi India Ltd.,Healthcare,SANOFI,EQ,INE058A01010,11
Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE,EQ,INE806T01020,6
Saregama India Ltd,Media Entertainment & Publication,SAREGAMA,EQ,INE979A01025,13
Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER,EQ,INE513A01022,0
Schneider Electric Infrastructure Ltd.,Capital Goods,SCHNEIDER,EQ,INE839M01018,1
Shipping Corporation of India Ltd.,Services,SCI,EQ,INE109A01011,18
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015,4
Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,RENUKA,EQ,INE087H01022,8
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01013,9
Shyam Metalics and Energy Ltd.,Capital Goods,SHYAMMETL,EQ,INE810G01011,1
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024,1
Signatureglobal (India) Ltd.,Realty,SIGNATURE,EQ,INE903U01023,17
Sobha Ltd.,Realty,SOBHA,EQ,INE671H01015,17
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029,2
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,EQ,INE073K01018,0
Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,INE269A01021,12
Star Health and Allied Insurance Company Ltd.,Financial Services,STARHEALTH,EQ,INE575P01011,9
State Bank of India,Financial Services,SBIN,EQ,INE062A01020,9
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011,14
Sterling and Wilson Renewable Energy Ltd.,Construction,SWSOLAR,EQ,INE00M201021,3
Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM,EQ,INE258G01013,2
Sun Pharma Advanced Research Company Ltd.,Healthcare,SPARC,EQ,INE232I01014,11
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036,11
Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV,EQ,INE424H01027,13
Sundaram Finance Ltd.,Financial Services,SUNDARMFIN,EQ,INE660A01013,9
Sundram Fasteners Ltd.,Automobile and Auto Components,SUNDRMFAST,EQ,INE387A01021,0
Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ,INE195A01028,1
Suven Pharmaceuticals Ltd.,Healthcare,SUVENPHAR,EQ,INE03QK01018,11
Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021,1
Swan Energy Ltd.,Diversified,SWANENERGY,EQ,INE665A01038,7
Syngene International Ltd.,Healthcare,SYNGENE,EQ,INE398R01022,11
Syrma SGS Technology Ltd.,Capital Goods,SYRMA,EQ,INE0DYJ01015,1
TBO Tek Ltd.,Consumer Services,TBOTEK,EQ,INE673O01025,6
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023,0
TVS Supply Chain Solutions Ltd.,Services,TVSSCS,EQ,INE395N01027,18
Tanla Platforms Ltd.,Information Technology,TANLA,EQ,INE483C01032,12
Tata Chemicals Ltd.,Chemicals,TATACHEM,EQ,INE092A01019,2
Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,INE151A01013,19
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029,12
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025,8
Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012,12
Tata Investment Corporation Ltd.,Financial Services,TATAINVEST,EQ,INE672A01018,9
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022,0
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021,16
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020,14
Tata Technologies Ltd.,Information Technology,TATATECH,EQ,INE142M01025,12
Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML,EQ,INE517B01013,19
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036,12
Techno Electric & Engineering Company Ltd.,Construction,TECHNOE,EQ,INE285K01026,3
Tejas Networks Ltd.,Telecommunication,TEJASNET,EQ,INE010J01012,19
The New India Assurance Company Ltd.,Financial Services,NIACL,EQ,INE470Y01017,9
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,EQ,INE331A01037,4
Thermax Ltd.,Capital Goods,THERMAX,EQ,INE152A01029,1
Timken India Ltd.,Capital Goods,TIMKEN,EQ,INE325A01013,1
Titagarh Rail Systems Ltd.,Capital Goods,TITAGARH,EQ,INE615H01020,1
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028,5
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028,11
Torrent Power Ltd.,Power,TORNTPOWER,EQ,INE813H01021,16
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020,6
Trident Ltd.,Textiles,TRIDENT,EQ,INE064C01022,20
Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,TRIVENI,EQ,INE256C01024,8
Triveni Turbine Ltd.,Capital Goods,TRITURBINE,EQ,INE152M01016,1
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,EQ,INE974X01010,0
UCO Bank,Financial Services,UCOBANK,EQ,INE691A01018,9
UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA,EQ,INE405E01023,0
UPL Ltd.,Chemicals,UPL,EQ,INE628A01036,2
UTI Asset Management Company Ltd.,Financial Services,UTIAMC,EQ,INE094J01016,9
Ujjivan Small Finance Bank Ltd.,Financial Services,UJJIVANSFB,EQ,INE551W01018,9
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011,4
Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016,9
United Breweries Ltd.,Fast Moving Consumer Goods,UBL,EQ,INE686F01025,8
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,EQ,INE854D01024,8
Usha Martin Ltd.,Capital Goods,USHAMART,EQ,INE228A01035,1
V-Guard Industries Ltd.,Consumer Durables,VGUARD,EQ,INE951I01027,5
V.I.P. Industries Ltd.,Consumer Durables,VIPIND,EQ,INE054A01027,5
Valor Estate Ltd.,Realty,DBREALTY,EQ,INE879I01012,17
Vardhman Textiles Ltd.,Textiles,VTL,EQ,INE825A01020,20
Varroc Engineering Ltd.,Automobile and Auto Components,VARROC,EQ,INE665L01035,0
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,EQ,INE200M01039,8
Vedant Fashions Ltd.,Consumer Services,MANYAVAR,EQ,INE825V01034,6
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025,14
Vijaya Diagnostic Centre Ltd.,Healthcare,VIJAYA,EQ,INE043W01024,11
Vinati Organics Ltd.,Chemicals,VINATIORGA,EQ,INE410B01037,2
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016,19
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021,5
Welspun Corp Ltd.,Capital Goods,WELCORP,EQ,INE191B01025,1
Welspun Living Ltd.,Textiles,WELSPUNLIV,EQ,INE192B01031,20
Westlife Foodworld Ltd.,Consumer Services,WESTLIFE,EQ,INE274F01020,6
Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL,EQ,INE716A01013,5
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022,12
Yes Bank Ltd.,Financial Services,YESBANK,EQ,INE528G01035,9
ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,ZFCVINDIA,EQ,INE342J01019,0
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL,EQ,INE256A01028,13
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ,INE520A01027,12
Zomato Ltd.,Consumer Services,ZOMATO,EQ,INE758T01015,6
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027,11
eClerx Services Ltd.,Services,ECLERX,EQ,INE738I01010,18
